report_id,report_year,place_id,standard_name,matched_variants,category,term,window_words,cooccurrence_count
b19883663,1891,P008,Dorset Street,dorset street,housing,houses,50,2
b19883663,1891,P009,Hanbury Street,hanbury street,housing,houses,50,2
b19883663,1891,P010,Leman Street,leman street,sanitary,sanitary,50,1
b19883663,1891,P010,Leman Street,leman street,housing,houses,50,3
b19883663,1891,P010,Leman Street,leman street,housing,rooms,50,1
b19883663,1891,P010,Leman Street,leman street,governance,medical officer,50,1
b19883663,1891,P010,Leman Street,leman street,governance,board,50,1
b19883663,1891,P011,Aldgate,aldgate,disease,influenza,50,2
b19883663,1891,P011,Aldgate,aldgate,housing,houses,50,1
b19883663,1891,P011,Aldgate,aldgate,governance,board,50,1
b19883663,1891,P012,Spitalfields,spitalfields,disease,fever,50,1
b19883663,1891,P012,Spitalfields,spitalfields,disease,scarlet fever,50,1
b19883663,1891,P012,Spitalfields,spitalfields,disease,measles,50,1
b19883663,1891,P012,Spitalfields,spitalfields,disease,influenza,50,5
b19883663,1891,P012,Spitalfields,spitalfields,housing,houses,50,4
b19883663,1891,P012,Spitalfields,spitalfields,housing,rooms,50,1
b19883663,1891,P012,Spitalfields,spitalfields,governance,board,50,1
b19883663,1891,P013,Mile End,mile end,housing,houses,50,2
b19883663,1891,P013,Mile End,mile end,housing,rooms,50,1
b19883663,1891,P014,Mile End New Town,mile end new town,disease,fever,50,2
b19883663,1891,P014,Mile End New Town,mile end new town,disease,scarlet fever,50,1
b19883663,1891,P014,Mile End New Town,mile end new town,disease,measles,50,1
b19883663,1891,P014,Mile End New Town,mile end new town,disease,influenza,50,3
b19883663,1891,P014,Mile End New Town,mile end new town,disease,diphtheria,50,1
b19883663,1891,P014,Mile End New Town,mile end new town,housing,houses,50,3
b19883663,1891,P014,Mile End New Town,mile end new town,governance,board,50,1
b19883663,1891,P016,London Hospital,london hospital,disease,measles,50,1
b19883663,1891,P016,London Hospital,london hospital,disease,influenza,50,1
b19883663,1891,P016,London Hospital,london hospital,housing,houses,50,1
b19883663,1891,P016,London Hospital,london hospital,governance,board,50,1
b19883663,1891,P018,Commercial Street,commercial street,housing,houses,50,2
b19883663,1891,P019,George Yard,george yard,sanitary,sanitary,50,1
b19883663,1891,P019,George Yard,george yard,housing,houses,50,1
b19883663,1891,P020,Thrawl Street,thrawl street,disease,fever,50,3
b19883663,1891,P020,Thrawl Street,thrawl street,disease,scarlet fever,50,1
b19883663,1891,P020,Thrawl Street,thrawl street,disease,typhus,50,1
b19883663,1891,P020,Thrawl Street,thrawl street,disease,diphtheria,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,disease,fever,50,3
b19883663,1891,P022,Mile End Old Town,mile end old town,disease,scarlet fever,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,disease,typhus,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,disease,measles,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,disease,diphtheria,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,sanitary,sanitary,50,1
b19883663,1891,P022,Mile End Old Town,mile end old town,governance,board,50,1
b19883675,1892,P001,Whitechapel Road,whitechapel road,housing,houses,50,3
b19883675,1892,P003,Brick Lane,brick lane,sanitary,water supply,50,2
b19883675,1892,P003,Brick Lane,brick lane,housing,houses,50,2
b19883675,1892,P006,Wentworth Street,wentworth street,housing,houses,50,3
b19883675,1892,P007,Flower and Dean Street,flower and dean street,housing,houses,50,2
b19883675,1892,P008,Dorset Street,dorset street,housing,houses,50,2
b19883675,1892,P009,Hanbury Street,hanbury street,housing,houses,50,3
b19883675,1892,P010,Leman Street,leman street,sanitary,sanitary,50,2
b19883675,1892,P010,Leman Street,leman street,governance,medical officer,50,2
b19883675,1892,P010,Leman Street,leman street,governance,board,50,3
b19883675,1892,P012,Spitalfields,spitalfields,disease,fever,50,14
b19883675,1892,P012,Spitalfields,spitalfields,disease,scarlet fever,50,2
b19883675,1892,P012,Spitalfields,spitalfields,disease,cholera,50,2
b19883675,1892,P012,Spitalfields,spitalfields,disease,typhus,50,4
b19883675,1892,P012,Spitalfields,spitalfields,disease,typhoid,50,1
b19883675,1892,P012,Spitalfields,spitalfields,disease,influenza,50,2
b19883675,1892,P012,Spitalfields,spitalfields,disease,diphtheria,50,2
b19883675,1892,P012,Spitalfields,spitalfields,governance,board,50,3
b19883675,1892,P014,Mile End New Town,mile end new town,disease,fever,50,6
b19883675,1892,P014,Mile End New Town,mile end new town,disease,cholera,50,1
b19883675,1892,P014,Mile End New Town,mile end new town,disease,typhus,50,3
b19883675,1892,P014,Mile End New Town,mile end new town,disease,typhoid,50,1
b19883675,1892,P014,Mile End New Town,mile end new town,disease,influenza,50,1
b19883675,1892,P014,Mile End New Town,mile end new town,housing,houses,50,2
b19883675,1892,P014,Mile End New Town,mile end new town,governance,board,50,2
b19883675,1892,P016,London Hospital,london hospital,disease,fever,50,5
b19883675,1892,P016,London Hospital,london hospital,disease,scarlet fever,50,2
b19883675,1892,P016,London Hospital,london hospital,disease,typhus,50,1
b19883675,1892,P016,London Hospital,london hospital,disease,measles,50,1
b19883675,1892,P016,London Hospital,london hospital,disease,diphtheria,50,1
b19883675,1892,P016,London Hospital,london hospital,sanitary,sanitary,50,1
b19883675,1892,P016,London Hospital,london hospital,housing,dwellings,50,3
b19883675,1892,P016,London Hospital,london hospital,housing,houses,50,5
b19883675,1892,P016,London Hospital,london hospital,governance,inspections,50,1
b19883675,1892,P016,London Hospital,london hospital,governance,board,50,1
b19883675,1892,P018,Commercial Street,commercial street,housing,houses,50,3
b19883675,1892,P019,George Yard,george yard,housing,houses,50,1
b19883675,1892,P020,Thrawl Street,thrawl street,housing,houses,50,1
b19883675,1892,P021,Fashion Street,fashion street,disease,fever,50,6
b19883675,1892,P021,Fashion Street,fashion street,disease,scarlet fever,50,2
b19883675,1892,P021,Fashion Street,fashion street,disease,typhus,50,2
b19883675,1892,P021,Fashion Street,fashion street,disease,measles,50,2
b19883675,1892,P021,Fashion Street,fashion street,disease,diphtheria,50,2
b19883675,1892,P022,Mile End Old Town,mile end old town,disease,fever,50,1
b19883675,1892,P022,Mile End Old Town,mile end old town,disease,scarlet fever,50,1
b19883675,1892,P022,Mile End Old Town,mile end old town,disease,measles,50,1
b19883675,1892,P022,Mile End Old Town,mile end old town,disease,diphtheria,50,1
b19883675,1892,P022,Mile End Old Town,mile end old town,sanitary,sanitary,50,1
b18018348,1893,P001,Whitechapel Road,whitechapel road,housing,dwellings,50,2
b18018348,1893,P003,Brick Lane,brick lane,housing,overcrowding,50,1
b18018348,1893,P003,Brick Lane,brick lane,housing,houses,50,3
b18018348,1893,P006,Wentworth Street,wentworth street,governance,board,50,1
b18018348,1893,P007,Flower and Dean Street,flower and dean street,housing,houses,50,2
b18018348,1893,P008,Dorset Street,dorset street,disease,fever,50,2
b18018348,1893,P008,Dorset Street,dorset street,disease,scarlet fever,50,1
b18018348,1893,P008,Dorset Street,dorset street,disease,typhus,50,1
b18018348,1893,P008,Dorset Street,dorset street,disease,typhoid,50,1
b18018348,1893,P008,Dorset Street,dorset street,housing,houses,50,2
b18018348,1893,P009,Hanbury Street,hanbury street,sanitary,sanitary,50,1
b18018348,1893,P009,Hanbury Street,hanbury street,housing,houses,50,1
b18018348,1893,P009,Hanbury Street,hanbury street,governance,board,50,1
b18018348,1893,P010,Leman Street,leman street,disease,fever,50,4
b18018348,1893,P010,Leman Street,leman street,disease,scarlet fever,50,2
b18018348,1893,P010,Leman Street,leman street,disease,typhus,50,2
b18018348,1893,P010,Leman Street,leman street,disease,typhoid,50,2
b18018348,1893,P010,Leman Street,leman street,disease,measles,50,1
b18018348,1893,P010,Leman Street,leman street,disease,diphtheria,50,2
b18018348,1893,P010,Leman Street,leman street,sanitary,sanitary,50,1
b18018348,1893,P010,Leman Street,leman street,housing,dwellings,50,1
b18018348,1893,P010,Leman Street,leman street,housing,houses,50,1
b18018348,1893,P010,Leman Street,leman street,governance,medical officer,50,1
b18018348,1893,P010,Leman Street,leman street,governance,board,50,1
b18018348,1893,P011,Aldgate,aldgate,housing,houses,50,8
b18018348,1893,P011,Aldgate,aldgate,governance,board,50,3
b18018348,1893,P012,Spitalfields,spitalfields,disease,fever,50,14
b18018348,1893,P012,Spitalfields,spitalfields,disease,scarlet fever,50,2
b18018348,1893,P012,Spitalfields,spitalfields,disease,cholera,50,2
b18018348,1893,P012,Spitalfields,spitalfields,disease,typhus,50,3
b18018348,1893,P012,Spitalfields,spitalfields,disease,typhoid,50,1
b18018348,1893,P012,Spitalfields,spitalfields,disease,diphtheria,50,2
b18018348,1893,P012,Spitalfields,spitalfields,disease,diarrhoea,50,1
b18018348,1893,P012,Spitalfields,spitalfields,sanitary,drainage,50,1
b18018348,1893,P012,Spitalfields,spitalfields,housing,houses,50,7
b18018348,1893,P012,Spitalfields,spitalfields,governance,notices,50,2
b18018348,1893,P012,Spitalfields,spitalfields,governance,board,50,3
b18018348,1893,P013,Mile End,mile end,housing,houses,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,disease,fever,50,6
b18018348,1893,P014,Mile End New Town,mile end new town,disease,cholera,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,disease,typhus,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,disease,influenza,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,sanitary,sanitary,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,housing,houses,50,9
b18018348,1893,P014,Mile End New Town,mile end new town,governance,notices,50,2
b18018348,1893,P014,Mile End New Town,mile end new town,governance,medical officer,50,1
b18018348,1893,P014,Mile End New Town,mile end new town,governance,board,50,5
b18018348,1893,P016,London Hospital,london hospital,disease,fever,50,5
b18018348,1893,P016,London Hospital,london hospital,disease,consumption,50,1
b18018348,1893,P016,London Hospital,london hospital,sanitary,sanitary,50,2
b18018348,1893,P016,London Hospital,london hospital,housing,dwellings,50,3
